"DATA_LOAD_ID","RAW_SRC_PK","RAW_SRC_PK_TYP","RAW_FK","RAW_FK_TYP","PRIM_ADDR_TYP","PRIM_ADDR1","PRIM_CITY","PRIM_ST","PRIM_POSTAL_CODE"
ALL_FDIC_201904,"1,324,854,345",PR_RECORD_ID,"30672",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,FIRST FED BLDG,FAYETTEVILLE,ARKANSAS,"72701"
ALL_FDIC_201904,"1,324,854,362",PR_RECORD_ID,"30689",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"18 NORTH WALNUT ST",BRAZIL,INDIANA,"47834"
ALL_FDIC_201904,"1,324,854,366",PR_RECORD_ID,"30693",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,PORTAGE TRAIL AND SECOND STREET,CUYAHOGA FALLS,OHIO,"44222"
ALL_FDIC_201904,"1,324,854,380",PR_RECORD_ID,"30707",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"221 N 3RD ST",STERLING,COLORADO,"80751"
ALL_FDIC_201904,"1,324,854,383",PR_RECORD_ID,"30710",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"1200 HARGER ROAD",OAK BROOK,ILLINOIS,"60521"
ALL_FDIC_201904,"1,324,854,388",PR_RECORD_ID,"30715",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"128 E QUEEN STREET",CHAMBERSBURG,PENNSYLVANIA,"17201"
ALL_FDIC_201904,"1,324,854,393",PR_RECORD_ID,"30720",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"1233 O.G. SKINNER DR",WEST POINT,GEORGIA,"31833"
ALL_FDIC_201904,"1,324,854,409",PR_RECORD_ID,"30737",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"1048 W OGDEN AVENUE",DOWNERS GROVE,ILLINOIS,"60515"
ALL_FDIC_201904,"1,324,854,414",PR_RECORD_ID,"30742",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"825 CENTRAL AVENUE",FORT DODGE,IOWA,"50501"
ALL_FDIC_201904,"1,324,854,427",PR_RECORD_ID,"30757",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"5718 WESTHEIMER STREET, SUITE 600",HOUSTON,TEXAS,"77057"
ALL_FDIC_201904,"1,324,854,433",PR_RECORD_ID,"30765",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"110 SOUTH MAIN STREET",WICHITA,KANSAS,"67202"
ALL_FDIC_201904,"1,324,854,435",PR_RECORD_ID,"30767",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"82 CONGRESS STREET",PORTSMOUTH,NEW HAMPSHIRE,"3801"
ALL_FDIC_201904,"1,324,854,439",PR_RECORD_ID,"30771",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"120 SOUTH MAIN",WICHITA,KANSAS,"67202"
ALL_FDIC_201904,"1,324,854,445",PR_RECORD_ID,"30777",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"1001 WESTHEIMER",HOUSTON,TEXAS,"77006"
ALL_FDIC_201904,"1,324,854,449",PR_RECORD_ID,"30781",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"2303 8TH STREET",MERIDIAN,MISSISSIPPI,"39301"
ALL_FDIC_201904,"1,324,854,458",PR_RECORD_ID,"30791",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"311 NORTH MAIN STREET",RICE LAKE,WISCONSIN,"54868"
ALL_FDIC_201904,"1,324,854,475",PR_RECORD_ID,"30809",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"640 DIVISION STREET",STEVENS POINT,WISCONSIN,"54481"
ALL_FDIC_201904,"1,324,854,478",PR_RECORD_ID,"30812",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"903 JACKSON AVE",PASCAGOULA,MISSISSIPPI,"39567"
ALL_FDIC_201904,"1,324,854,481",PR_RECORD_ID,"30815",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"4912 DEL REY AVENUE",BETHESDA,MARYLAND,"20814"
ALL_FDIC_201904,"1,324,854,482",PR_RECORD_ID,"30816",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"200 N ORCHARD STREET",FARMINGTON,NEW MEXICO,"87401"
ALL_FDIC_201904,"1,324,854,490",PR_RECORD_ID,"30824",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"500 BENNET AVENUE",ORANGEBURG,SOUTH CAROLINA,"29115"
ALL_FDIC_201904,"1,324,854,492",PR_RECORD_ID,"30826",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"101 N E 1ST AVENUE",MIAMI,FLORIDA,"33132"
ALL_FDIC_201904,"1,324,854,494",PR_RECORD_ID,"30828",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"1902 WEST VIRGINIA",MCKINNEY,TEXAS,"75069"
ALL_FDIC_201904,"1,324,854,496",PR_RECORD_ID,"30831",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"621 N CENTER ST",BONHAM,TEXAS,"75418"
ALL_FDIC_201904,"1,324,854,510",PR_RECORD_ID,"30845",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"204 SOUTH MAIN STREET",RANDLEMAN,NORTH CAROLINA,"27317"
ALL_FDIC_201904,"1,324,854,517",PR_RECORD_ID,"30852",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"8100 ROSEVELT BOULEVARD",PHILADELPHIA,PENNSYLVANIA,"19152"
ALL_FDIC_201904,"1,324,854,544",PR_RECORD_ID,"30880",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"955 MONROE ST",SANTA CLARA,CALIFORNIA,"95050"
ALL_FDIC_201904,"1,324,854,545",PR_RECORD_ID,"30881",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"1850 SHERMER ROAD",NORTHBROOK,ILLINOIS,"60062"
