DATA_LOAD_ID,RAW_SRC_PK,RAW_SRC_PK_TYP,RAW_FK,RAW_FK_TYP,PRIMARY_NAME,BUS_NM_TYP
ALL_FDIC_201904,"1,324,832,813",PR_RECORD_ID,669,FDIC_CERT_NUM,MARINE MIDLAND BANK-CENTRAL,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,815",PR_RECORD_ID,674,FDIC_CERT_NUM,BANK OF WESTBURY TRUST COMPANY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,817",PR_RECORD_ID,679,FDIC_CERT_NUM,"PNC BANK, DELAWARE",PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,824",PR_RECORD_ID,695,FDIC_CERT_NUM,DAUPHIN DEPOSIT BANK AND TRUST COMPANY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,825",PR_RECORD_ID,698,FDIC_CERT_NUM,WAYNE BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,827",PR_RECORD_ID,701,FDIC_CERT_NUM,INDUSTRIAL VALLEY BANK AND TRUST COMPANY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,841",PR_RECORD_ID,736,FDIC_CERT_NUM,THE FIRESTONE BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,844",PR_RECORD_ID,740,FDIC_CERT_NUM,THE UNION BANK AND SAVINGS COMPANY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,851",PR_RECORD_ID,749,FDIC_CERT_NUM,THE COMMERCIAL AND SAVINGS BANK COMPANY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,856",PR_RECORD_ID,757,FDIC_CERT_NUM,1ST SECURITY BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,876",PR_RECORD_ID,781,FDIC_CERT_NUM,THE CENTRAL TRUST COMPANY OF WAYNE COUNTY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,878",PR_RECORD_ID,786,FDIC_CERT_NUM,PENNBANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,880",PR_RECORD_ID,788,FDIC_CERT_NUM,MELLON BANK (NORTH) NATIONAL ASSOCIATION,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,881",PR_RECORD_ID,790,FDIC_CERT_NUM,LAWRENCE SAVINGS AND TRUST COMPANY,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,882",PR_RECORD_ID,801,FDIC_CERT_NUM,WESBANCO BANK SISTERSVILLE,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,883",PR_RECORD_ID,803,FDIC_CERT_NUM,"WESBANCO BANK, INC.",PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,894",PR_RECORD_ID,829,FDIC_CERT_NUM,PEOPLES COMMUNITY BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,895",PR_RECORD_ID,832,FDIC_CERT_NUM,CRESTAR BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,905",PR_RECORD_ID,844,FDIC_CERT_NUM,SUMMIT COMMUNITY BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,908",PR_RECORD_ID,847,FDIC_CERT_NUM,THE PLEASANTS COUNTY BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,912",PR_RECORD_ID,851,FDIC_CERT_NUM,BARBOUR COUNTY BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,922",PR_RECORD_ID,862,FDIC_CERT_NUM,BANK OF YORK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,930",PR_RECORD_ID,872,FDIC_CERT_NUM,STATE BANK OF COCHRAN,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,950",PR_RECORD_ID,897,FDIC_CERT_NUM,TRUCKERS EXCHANGE BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,965",PR_RECORD_ID,915,FDIC_CERT_NUM,OLD KENT BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,968",PR_RECORD_ID,918,FDIC_CERT_NUM,UPPER AVENUE BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,832,983",PR_RECORD_ID,936,FDIC_CERT_NUM,SUMNER NATIONAL BANK OF SHELDON,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,833,008",PR_RECORD_ID,966,FDIC_CERT_NUM,HOME STATE BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,833,014",PR_RECORD_ID,972,FDIC_CERT_NUM,FIRST OF AMERICA BANK - ALPENA,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,833,020",PR_RECORD_ID,979,FDIC_CERT_NUM,MICHIGAN NATIONAL BANK-MICHIANA,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,833,034",PR_RECORD_ID,998,FDIC_CERT_NUM,FIRST OF AMERICA BANK - MANISTEE,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,833,036",PR_RECORD_ID,1001,FDIC_CERT_NUM,MASON STATE BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,833,039",PR_RECORD_ID,1005,FDIC_CERT_NUM,ISABELLA BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,833,053",PR_RECORD_ID,1022,FDIC_CERT_NUM,"CLARE BANK, NATIONAL ASSOCIATION",PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,833,055",PR_RECORD_ID,1024,FDIC_CERT_NUM,M&I SOUTH SHORE BANK,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,833,062",PR_RECORD_ID,1034,FDIC_CERT_NUM,BOATMEN'S NATIONAL BANK OF RUSSELLVILLE,PRIMARY_BANK_NAME
ALL_FDIC_201904,"1,324,833,063",PR_RECORD_ID,1035,FDIC_CERT_NUM,FIRST NATIONAL BANK,PRIMARY_BANK_NAME
